name,key,Course_Type,Price,Enrolled,Language,Description
C,c_bengali,Free,0,2002,Bengali,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C,c_tamil,Free,0,2007,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C,c_eng,Free,0,2105,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Building REST APIs using .NET Core,building_rest_apis_using__net_core_english,Premium,999,4226,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C,c_telugu,Free,0,2009,Telugu,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Bootstrap 3,bootstrap3_tamil,Free,0,2004,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Building REST APIs using .NET Core,restApiUsingDotNETCoreTa,Premium,999,3757,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Xamarin 101,xamarin101_english,Free,0,2001,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Vue.js,vuejs_tamil,Premium,999,2896,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Websockets,websocketsenglish,Free,0,2008,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
C Plus Plus Programming,cpp,Premium,999,26486,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
VIM,vim_tamil,Free,0,2003,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Vue.js,vuejs_hindi,Premium,999,3127,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Version Control,versioncontrol_tamil,Free,0,2007,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
UIUX Design,UIUXDesign,Free,0,2002,Oriya,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
TestNG Framework for Selenium,testng,Premium,999,2847,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
TypeScript,typescriptenglish,Free,0,2005,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Technical Talks,talks_eng,Free,0,2002,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Step into Robotic Process Automation,rpa_english,Premium,899,792923,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Sqlite,sqlite_tamil,Free,0,2002,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Struts,struts_en,Premium,999,15510,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Technical Talks,techtalks_tamil,Free,0,2003,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
SQL Server,sql_server_english,Premium,999,3309,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
SolidWorks,solidworks_english,Premium,999,2595,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Solidity for Beginners,SolidityforBeginners,Free,0,2009,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
SolidWorks,solidworks,Premium,999,7320,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Software Testing Life Cycle,stlcenglish,Premium,1499,2014,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Spring,spring_tam,Premium,999,5129,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Servlets & JSP,servletjsp_en,Premium,999,20081,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
SQL,sql_tamil,Free,0,2014,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
SQL,sql_bengali,Free,0,2003,Bengali,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Selenium Java Advanced,seleniumAdvancedEng,Premium,999,3274,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Selenium Automation Training C#,selenium_automation_training_c,Premium,999,3512,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Selenium Beginner,seleniumbeginnerenglish,Premium,1499,2007,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Selenium Automation with Python,seleniumAutomationPythonEng,Premium,999,5906,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Servlets & JSP,servletjsp,Premium,999,6172,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Selenium Automation,selenium_automation_training_tamil,Premium,999,2819,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
RUST Programming,rust_programmingenglish,Free,0,2003,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
RPA Design & Development V2.0,rpadesignanddevelopment,Premium,999,28383,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
RESTful APIs with Flask and Python,python_flask_with_restfull_api_hindi,Premium,999,3729,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Recursion - Data Structures & Algorithms,RecursionDataStructuresAlgorithms,Free,0,2001,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Redis with Python RESTfull API,redisEng,Premium,999,22398,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
React Native,reactNativeTa,Premium,999,5003,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
React JS,reactJs,Premium,999,2938,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
R programming,rEng,Premium,999,17974,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python with IIT Certification,python_tam_iit,Premium,999,1792843,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python Zero to Hero,pythonzerotoheroenglish,Premium,1499,2014,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python with IIT Certification,python_en_iit,Premium,999,4668788,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python with IIT Certification,python_hin_iit,Premium,999,2430031,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Product Thinking Masterclass and Taking an Idea to Product,productThinkingEng,Premium,999,2469,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python Programming,PythonProgramming,Free,0,2004,Oriya,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Python for Data Science,PythonforDataScience,Free,0,2005,Other,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Precalculus,Precalculus,Free,0,2001,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Product Management Interview Preparation,product_management,Premium,999,10974,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PHP with MySQL,php01_hindi,Premium,999,4100,Hindi,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PowerBI,powerbi_step_by_step_english,Premium,999,30154,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PHP Tamil Videos,PHP_Tamil_Videos,Free,0,2001,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PHP,php_malayalam,Premium,999,2035,Malayalam,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PHP,phpEng,Premium,999,2791,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
PHP,php,Premium,999,9462,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Oracle,oracle_english9,Premium,999,2791,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Node JS,nodejs_tamil,Free,0,2004,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
OpenCart,opencart_tamil,Premium,999,4317,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Oops,oops_tamil,Free,0,2006,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MySQL,mysqltelugu,Premium,999,2002,Telugu,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MySQL,mysql_ta,Premium,999,3701,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MongoDB,mongodb_tamil,Premium,999,6704,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MySQL,mysql,Premium,999,85503,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MS Excel,MSExcel,Free,0,2007,Kannada,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
MongoDB,mongodb_en,Premium,999,66113,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Microsoft Excel,excelenglish,Premium,999,9945,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Matlab,matlab_english,Premium,999,4198,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Master Recursion Backtracking,MasterRecursionBacktracking,Free,0,2007,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Microsoft Powerpoint,microsoftpowerpointenglish,Premium,999,5101,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Matlab,matlab_tamil_v2,Premium,999,5283,Tamil,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
Microsoft Word,microsoftwordenglish,Premium,999,4800,English,"Our course will give access to career-building R statistical skills that manipulate the data. Become a confident data scientist with R skills. Explore how R is a versatile language that allows you to import, manipulate, clean, and visualize data. Be a part of a wide scope future-in the industries such as banking, telecommunications, and media. Twitter, BBC, Google analytics are top companies that use this statistical analysis through R on Data."
